Antecedente;Consequente;Suporte;Confiança
[1];[6, 13, 16];2;40.0%
[6, 13, 18];[1];2;66.7%
[13, 1, 18];[6];2;100.0%
[6, 1, 18];[13];2;66.7%
[6, 13, 1];[18];2;50.0%
[13, 18];[1, 6];2;50.0%
[6, 18];[1, 13];2;50.0%
[6, 13];[1, 18];2;28.6%
[1, 18];[6, 13];2;66.7%
[13, 1];[6, 18];2;50.0%
[6, 1];[13, 18];2;40.0%
[18];[1, 6, 13];2;40.0%
[13];[1, 6, 18];2;22.2%
[6];[1, 13, 18];2;22.2%
[1];[6, 13, 18];2;40.0%
[8, 4, 15];[2];2;100.0%
[2, 8, 15];[4];2;100.0%
[2, 4, 15];[8];2;100.0%
[2, 8, 4];[15];2;100.0%
[8, 15];[2, 4];2;100.0%
[4, 15];[2, 8];2;100.0%
[8, 4];[2, 15];2;100.0%
[2, 15];[4, 8];2;100.0%
[2, 8];[4, 15];2;50.0%
[2, 4];[8, 15];2;66.7%
[15];[2, 4, 8];2;66.7%
[8];[2, 4, 15];2;40.0%
[4];[2, 8, 15];2;66.7%
[2];[4, 8, 15];2;33.3%
[12, 17, 14];[2];2;100.0%
[2, 17, 14];[12];2;100.0%
[12, 2, 17];[14];2;100.0%
[12, 2, 14];[17];2;100.0%
[17, 14];[2, 12];2;100.0%
[12, 17];[2, 14];2;66.7%
[12, 14];[2, 17];2;66.7%
[2, 17];[12, 14];2;50.0%
[2, 14];[12, 17];2;100.0%
[12, 2];[14, 17];2;66.7%
[17];[2, 12, 14];2;40.0%
[14];[2, 12, 17];2;66.7%
[12];[2, 14, 17];2;20.0%
[2];[12, 14, 17];2;33.3%
[12, 6, 9];[3];4;80.0%
[12, 9, 3];[6];4;100.0%
[12, 6, 3];[9];4;100.0%
[6, 9, 3];[12];4;100.0%
[12, 9];[3, 6];4;66.7%
[12, 6];[3, 9];4;57.1%
[6, 9];[3, 12];4;80.0%
[12, 3];[6, 9];4;100.0%
[9, 3];[6, 12];4;100.0%
[6, 3];[9, 12];4;100.0%
[12];[3, 6, 9];4;40.0%
[9];[3, 6, 12];4;66.7%
[6];[3, 9, 12];4;44.4%
[3];[6, 9, 12];4;100.0%
[12, 13, 9];[6];4;100.0%
[12, 6, 13];[9];4;80.0%
[6, 13, 9];[12];4;100.0%
[12, 6, 9];[13];4;80.0%
[12, 13];[6, 9];4;80.0%
[13, 9];[6, 12];4;100.0%
[12, 9];[6, 13];4;66.7%
[6, 13];[9, 12];4;57.1%
[12, 6];[9, 13];4;57.1%
[6, 9];[12, 13];4;80.0%
[13];[6, 9, 12];4;44.4%
[12];[6, 9, 13];4;40.0%
[9];[6, 12, 13];4;66.7%
[6];[9, 12, 13];4;44.4%
[12, 9, 16];[6];3;100.0%
[12, 6, 16];[9];3;100.0%
[6, 9, 16];[12];3;100.0%
[12, 6, 9];[16];3;60.0%
[12, 16];[6, 9];3;75.0%
[9, 16];[6, 12];3;100.0%
[12, 9];[6, 16];3;50.0%
[6, 16];[9, 12];3;75.0%
[12, 6];[9, 16];3;42.9%
[6, 9];[12, 16];3;60.0%
[16];[6, 9, 12];3;60.0%
[12];[6, 9, 16];3;30.0%
[9];[6, 12, 16];3;50.0%
[6];[9, 12, 16];3;33.3%
[12, 13, 18];[6];2;100.0%
[6, 13, 18];[12];2;66.7%
[12, 6, 18];[13];2;66.7%
[12, 6, 13];[18];2;40.0%
[13, 18];[6, 12];2;50.0%
[12, 18];[6, 13];2;66.7%
[12, 13];[6, 18];2;40.0%
[6, 18];[12, 13];2;50.0%
[6, 13];[12, 18];2;28.6%
[12, 6];[13, 18];2;28.6%
[18];[6, 12, 13];2;40.0%
[13];[6, 12, 18];2;22.2%
[12];[6, 13, 18];2;20.0%
[6];[12, 13, 18];2;22.2%
[12, 6, 18, 7];[1];2;100.0%
[12, 1, 18, 7];[6];2;100.0%
[12, 6, 1, 18];[7];2;100.0%
[6, 1, 18, 7];[12];2;100.0%
[12, 6, 1, 7];[18];2;100.0%
[12, 18, 7];[1, 6];2;100.0%
[12, 6, 18];[1, 7];2;66.7%
[6, 18, 7];[1, 12];2;100.0%
[12, 6, 7];[1, 18];2;100.0%
[12, 1, 18];[6, 7];2;100.0%
[1, 18, 7];[6, 12];2;100.0%
[12, 1, 7];[6, 18];2;100.0%
[6, 1, 18];[7, 12];2;66.7%
[12, 6, 1];[7, 18];2;66.7%
[6, 1, 7];[12, 18];2;66.7%
[12, 18];[1, 6, 7];2;66.7%
[18, 7];[1, 6, 12];2;100.0%
[12, 7];[1, 6, 18];2;66.7%
[6, 18];[1, 7, 12];2;50.0%
[12, 6];[1, 7, 18];2;28.6%
[6, 7];[1, 12, 18];2;66.7%
[1, 18];[6, 7, 12];2;66.7%
[12, 1];[6, 7, 18];2;66.7%
[1, 7];[6, 12, 18];2;66.7%
[6, 1];[7, 12, 18];2;40.0%
[18];[1, 6, 7, 12];2;40.0%
[12];[1, 6, 7, 18];2;20.0%
[7];[1, 6, 12, 18];2;50.0%
[6];[1, 7, 12, 18];2;22.2%
[1];[6, 7, 12, 18];2;40.0%
[13, 8, 5, 10];[2];2;100.0%
[13, 2, 8, 10];[5];2;100.0%
[13, 2, 5, 10];[8];2;100.0%
[13, 2, 8, 5];[10];2;100.0%
[2, 8, 5, 10];[13];2;100.0%
[13, 8, 10];[2, 5];2;100.0%
[13, 5, 10];[2, 8];2;100.0%
[13, 8, 5];[2, 10];2;100.0%
[8, 5, 10];[2, 13];2;100.0%
[13, 2, 10];[5, 8];2;100.0%
[13, 2, 8];[5, 10];2;100.0%
[2, 8, 10];[5, 13];2;100.0%
[13, 2, 5];[8, 10];2;100.0%
[2, 5, 10];[8, 13];2;100.0%
[2, 8, 5];[10, 13];2;100.0%
[13, 10];[2, 5, 8];2;100.0%
[13, 8];[2, 5, 10];2;66.7%
[8, 10];[2, 5, 13];2;100.0%
[13, 5];[2, 8, 10];2;100.0%
[5, 10];[2, 8, 13];2;100.0%
[8, 5];[2, 10, 13];2;100.0%
[13, 2];[5, 8, 10];2;100.0%
[2, 10];[5, 8, 13];2;100.0%
[2, 8];[5, 10, 13];2;50.0%
[2, 5];[8, 10, 13];2;66.7%
[13];[2, 5, 8, 10];2;22.2%
[10];[2, 5, 8, 13];2;100.0%
[8];[2, 5, 10, 13];2;40.0%
[5];[2, 8, 10, 13];2;66.7%
[2];[5, 8, 10, 13];2;33.3%
[12, 6, 13, 9];[3];3;75.0%
[12, 13, 9, 3];[6];3;100.0%
[12, 6, 13, 3];[9];3;100.0%
[6, 13, 9, 3];[12];3;100.0%
[12, 6, 9, 3];[13];3;75.0%
[12, 13, 9];[3, 6];3;75.0%
[12, 6, 13];[3, 9];3;60.0%
[6, 13, 9];[3, 12];3;75.0%
[12, 6, 9];[3, 13];3;60.0%
[12, 13, 3];[6, 9];3;100.0%
[13, 9, 3];[6, 12];3;100.0%
[12, 9, 3];[6, 13];3;75.0%
[6, 13, 3];[9, 12];3;100.0%
[12, 6, 3];[9, 13];3;75.0%
[6, 9, 3];[12, 13];3;75.0%
[12, 13];[3, 6, 9];3;60.0%
[13, 9];[3, 6, 12];3;75.0%
[12, 9];[3, 6, 13];3;50.0%
[6, 13];[3, 9, 12];3;42.9%
[12, 6];[3, 9, 13];3;42.9%
[6, 9];[3, 12, 13];3;60.0%
[13, 3];[6, 9, 12];3;100.0%
[12, 3];[6, 9, 13];3;75.0%
[9, 3];[6, 12, 13];3;75.0%
[6, 3];[9, 12, 13];3;75.0%
[13];[3, 6, 9, 12];3;33.3%
[12];[3, 6, 9, 13];3;30.0%
[9];[3, 6, 12, 13];3;50.0%
[6];[3, 9, 12, 13];3;33.3%
[3];[6, 9, 12, 13];3;75.0%
[12, 6, 9, 16];[3];2;66.7%
[12, 9, 16, 3];[6];2;100.0%
[12, 6, 16, 3];[9];2;100.0%
[6, 9, 16, 3];[12];2;100.0%
[12, 6, 9, 3];[16];2;50.0%
[12, 9, 16];[3, 6];2;66.7%
[12, 6, 16];[3, 9];2;66.7%
[6, 9, 16];[3, 12];2;66.7%
[12, 6, 9];[3, 16];2;40.0%
[12, 16, 3];[6, 9];2;100.0%
[9, 16, 3];[6, 12];2;100.0%
[12, 9, 3];[6, 16];2;50.0%
