Antecedente;Consequente;Suporte;Confianca;Matriz Antecedentes;Matriz Consequentes;Pto Medio Anteced.;Pto Medio Conseq.;Suporte Anteced.;Suporte Conseq.;Dist. Anteced. -> Conseq.;Dist. Anteced. x Origem;Dist. Conseq. x Origem
[8, 16];[2, 4, 12, 15];1;100.0%;"[[0.   7.73]
 [7.73 0.  ]]";"[[0.   3.3  6.36 5.19]
 [3.3  0.   6.6  2.67]
 [6.36 6.6  0.   6.  ]
 [5.19 2.67 6.   0.  ]]";"[-0.211 -0.212 -0.072 -0.744  0.311  0.3   -0.068 -0.07  -0.109 -0.164
  0.083]";"[-0.37  -0.613 -0.247  0.132  0.249 -0.118  0.024 -0.097  0.036  0.079
  0.008]";1;1;9.54975096279307;[6.67192604];[6.10538667]
[8, 15];[2, 4, 12, 16];1;50.0%;"[[0.   4.76]
 [4.76 0.  ]]";"[[0.   3.3  6.36 8.4 ]
 [3.3  0.   6.6  7.35]
 [6.36 6.6  0.   3.7 ]
 [8.4  7.35 3.7  0.  ]]";"[-0.6   -0.319 -0.227 -0.725  0.194 -0.221 -0.165  0.05   0.149 -0.089
  0.059]";"[-0.176 -0.559 -0.169  0.123  0.307  0.142  0.073 -0.157 -0.093  0.042
  0.02 ]";2;1;6.076195750055468;[5.19871177];[4.33484598]
[12, 8];[2, 4, 15, 16];1;100.0%;"[[0.   9.16]
 [9.16 0.  ]]";"[[0.   3.3  5.19 8.4 ]
 [3.3  0.   2.67 7.35]
 [5.19 2.67 0.   3.94]
 [8.4  7.35 3.94 0.  ]]";"[-0.15  -0.231  0.052 -0.016  0.283 -0.224 -0.061 -0.247  0.088 -0.1
  0.137]";"[-0.4   -0.603 -0.308 -0.232  0.263  0.143  0.021 -0.008 -0.062  0.047
 -0.019]";1;1;4.5414957625043275;[1.73773352];[6.89127414]
[16, 4];[2, 8, 12, 15];1;100.0%;"[[0.   7.35]
 [7.35 0.  ]]";"[[0.   2.71 6.36 5.19]
 [2.71 0.   9.16 4.76]
 [6.36 9.16 0.   6.  ]
 [5.19 4.76 6.   0.  ]]";"[-0.028 -0.658 -0.423 -0.297  0.305  0.336  0.141 -0.099 -0.188 -0.03
 -0.026]";"[-0.461 -0.389 -0.071 -0.091  0.252 -0.137 -0.08  -0.082  0.076  0.012
  0.063]";1;1;5.763291876673852;[7.59692054];[4.36492031]
[4, 15];[2, 8, 12, 16];1;50.0%;"[[0.   2.67]
 [2.67 0.  ]]";"[[0.   2.71 6.36 8.4 ]
 [2.71 0.   9.16 7.73]
 [6.36 9.16 0.   3.7 ]
 [8.4  7.73 3.7  0.  ]]";"[-0.417 -0.765 -0.578 -0.278  0.189 -0.185  0.043  0.021  0.07   0.044
 -0.051]";"[-0.267 -0.336  0.007 -0.101  0.31   0.124 -0.032 -0.142 -0.053 -0.025
  0.075]";2;1;2.6456354018204684;[5.64312634];[2.59729336]
[12, 4];[2, 8, 15, 16];1;50.0%;"[[0.  6.6]
 [6.6 0. ]]";"[[0.   2.71 5.19 8.4 ]
 [2.71 0.   4.76 7.73]
 [5.19 4.76 0.   3.94]
 [8.4  7.73 3.94 0.  ]]";"[ 0.033 -0.678 -0.299  0.431  0.278 -0.187  0.148 -0.276  0.009  0.034
  0.028]";"[-0.492 -0.38  -0.133 -0.455  0.266  0.125 -0.084  0.006 -0.023 -0.02
  0.036]";2;1;8.535645893106215;[3.75397786];[6.37857884]
[8, 4];[2, 12, 15, 16];1;50.0%;"[[0.  5.4]
 [5.4 0. ]]";"[[0.   6.36 5.19 8.4 ]
 [6.36 0.   6.   3.7 ]
 [5.19 6.   0.   3.94]
 [8.4  3.7  3.94 0.  ]]";"[-0.747 -0.22  -0.446 -0.453  0.091 -0.222  0.082 -0.197 -0.067 -0.125
  0.03 ]";"[-0.102 -0.609 -0.06  -0.014  0.359  0.143 -0.051 -0.033  0.016  0.06
  0.035]";2;1;6.331476383858285;[5.288586];[4.38274718]
[2, 16];[4, 8, 12, 15];1;100.0%;"[[0.  8.4]
 [8.4 0. ]]";"[[0.   5.4  6.6  2.67]
 [5.4  0.   9.16 4.76]
 [6.6  9.16 0.   6.  ]
 [2.67 4.76 6.   0.  ]]";"[-0.384 -0.441 -0.039 -0.185  0.337  0.471 -0.002 -0.038 -0.194  0.05
  0.013]";"[-0.283 -0.498 -0.263 -0.147  0.236 -0.204 -0.009 -0.113  0.079 -0.028
  0.043]";1;1;3.2522867923209002;[5.59492246];[4.53369578]
[2, 15];[4, 8, 12, 16];1;50.0%;"[[0.   5.19]
 [5.19 0.  ]]";"[[0.   5.4  6.6  7.35]
 [5.4  0.   9.16 7.73]
 [6.6  9.16 0.   3.7 ]
 [7.35 7.73 3.7  0.  ]]";"[-0.773 -0.548 -0.194 -0.167  0.221 -0.049 -0.1    0.082  0.063  0.125
 -0.012]";"[-0.089 -0.445 -0.185 -0.157  0.294  0.056  0.04  -0.173 -0.05  -0.065
  0.055]";2;1;2.825167046606144;[5.15722705];[3.02049351]
[12, 2];[4, 8, 15, 16];1;33.3%;"[[0.   6.36]
 [6.36 0.  ]]";"[[0.   5.4  2.67 7.35]
 [5.4  0.   4.76 7.73]
 [2.67 4.76 0.   3.94]
 [7.35 7.73 3.94 0.  ]]";"[-0.323 -0.46   0.085  0.542  0.31  -0.052  0.005 -0.214  0.003  0.114
  0.067]";"[-0.314 -0.489 -0.325 -0.511  0.25   0.057 -0.012 -0.024 -0.019 -0.06
  0.016]";3;1;7.646685604579345;[2.10608446];[6.75460659]
[2, 8];[4, 12, 15, 16];1;25.0%;"[[0.   2.71]
 [2.71 0.  ]]";"[[0.   6.6  2.67 7.35]
 [6.6  0.   6.   3.7 ]
 [2.67 6.   0.   3.94]
 [7.35 3.7  3.94 0.  ]]";"[-1.103 -0.002 -0.061 -0.341  0.122 -0.087 -0.061 -0.136 -0.074 -0.045
  0.069]";"[ 0.076 -0.717 -0.252 -0.069  0.343  0.075  0.02  -0.064  0.019  0.02
  0.015]";4;1;10.109456995870017;[3.67016948];[6.06810917]
