Antecedente;Consequente;Dist. Anteced. x Origem;Dist. Conseq. x Origem;Dist. Anteced. -> Conseq.;Dist. Anteced. - Conseq.;Suporte Ant.;Suporte Cons.;Suporte;Confianca;Lift;all-confianca
[12, 4];[2, 8, 15, 16];3.7505108189302665;3.188562440944601;8.535992936405107;0.5619483779856655;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.1000005
[8, 4];[2, 12, 15, 16];5.288075013329133;2.1894570115204237;6.336692949776897;3.0986180018087097;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.1000005
[2, 16];[4, 8, 12, 15];5.598451578947325;4.53905008306109;3.2593441160591845;1.0594014958862346;0.066667;0.066667;0.066667;1.0;0.066667;0.1000005
[2, 15];[4, 8, 12, 16];5.150976020943053;1.5099441240367641;2.8216896361199204;3.6410318969062887;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.1000005
[12, 2];[4, 8, 15, 16];2.107387781125323;2.2503254268237964;7.650203036107928;-0.14293764569847323;0.2;0.066667;0.066667;0.3333333333333333;0.022222444445;0.1000005
[2, 8];[4, 12, 15, 16];3.6716241547984345;1.5187676391381075;10.115589032322848;2.1528565156603268;0.266667;0.066667;0.066667;0.25;0.016666812500234378;0.1000005
[2, 4];[8, 12, 15, 16];4.384753726406529;1.2437863547901973;5.393473786723122;3.1409673716163313;0.2;0.066667;0.066667;0.3333333333333333;0.022222444445;0.1000005
[16];[2, 4, 8, 12, 15];3.0214205694875305;1.051758452180906;7.97000747827204;1.9696621173066244;0.333333;0.066667;0.066667;0.2;0.013333480000480003;0.1000005
[15];[2, 4, 8, 12, 16];4.198051808034173;1.1444784345871168;1.6715464884126676;3.0535733734470565;0.2;0.066667;0.066667;0.3333333333333333;0.022222444445;0.1000005
[12];[2, 4, 8, 15, 16];1.71927453962942;0.6642039169020975;10.460979689641078;1.0550706227273225;0.666667;0.066667;0.066667;0.1;0.006666730000135001;0.1000005
[8];[2, 4, 12, 15, 16];3.5126801586328846;0.9772002961688107;7.4745928073317645;2.535479862464074;0.333333;0.066667;0.066667;0.2;0.013333480000480003;0.1000005
[4];[2, 8, 12, 15, 16];4.6642240658087974;1.1627828487304828;2.512638597640755;3.5014412170783147;0.2;0.066667;0.066667;0.3333333333333333;0.022222444445;0.1000005
[2];[4, 8, 12, 15, 16];3.203999316882345;0.6875818199245736;5.069139251282888;2.5164174969577715;0.4;0.066667;0.066667;0.16666666666666666;0.0111112222225;0.1000005
[13, 8, 17, 5, 10];[2];5.926166023885731;19.22389978179516;4.331385061037991;-13.29773375790943;0.066667;0.4;0.066667;1.0;0.4;0.11111166666666668
[13, 2, 8, 17, 10];[5];5.724234324103664;13.816223939756808;2.335810931491688;-8.091989615653144;0.066667;0.2;0.066667;1.0;0.2;0.11111166666666668
[13, 2, 17, 5, 10];[8];6.241108425894657;17.56329541328656;5.052690857617536;-11.322186987391904;0.066667;0.333333;0.066667;1.0;0.333333;0.11111166666666668
[13, 2, 8, 17, 5];[10];6.074848755584342;9.823771723002096;1.8713207741545896;-3.748922967417754;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[2, 8, 17, 5, 10];[13];8.784959725851891;19.13362037910109;11.75138992419442;-10.348660653249198;0.066667;0.6;0.066667;1.0;0.6;0.11111166666666668
[13, 2, 8, 5, 10];[17];3.6162967818644085;7.716421814668559;4.811520963421582;-4.100125032804151;0.133333;0.333333;0.066667;0.5;0.166667750001875;0.11111166666666668
[13, 8, 17, 10];[2, 5];5.2598006724279305;13.021911148365025;3.1120175276809228;-7.762110475937094;0.066667;0.2;0.066667;1.0;0.2;0.11111166666666668
[13, 17, 5, 10];[2, 8];6.249357088566184;14.686441545106785;5.707520892201677;-8.4370844565406;0.066667;0.266667;0.066667;1.0;0.266667;0.11111166666666668
[13, 8, 17, 5];[2, 10];5.43289823374036;10.52484814267183;2.1106153367838068;-5.09194990893147;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[8, 17, 5, 10];[2, 13];7.687608894237964;4.9329593845148185;2.7809763571484303;2.754649509723145;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[13, 8, 5, 10];[2, 17];3.9424499715583803;7.249700097345725;5.7112930390698455;-3.307250125787345;0.133333;0.266667;0.066667;0.5;0.13333450000375;0.11111166666666668
[13, 2, 17, 10];[5, 8];5.262064803674428;10.647426568668061;1.8028139003408632;-5.385361764993633;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[13, 2, 8, 17];[5, 10];5.566950208910451;10.971210206480508;2.81524226287722;-5.404259997570057;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[2, 8, 17, 10];[5, 13];8.94502536478409;9.872779429827652;10.033080144665162;-0.9277540650435618;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[13, 2, 8, 10];[5, 17];3.436070542018901;5.179259123829237;3.9425743775863418;-1.7431885818103359;0.133333;0.133333;0.066667;0.5;0.066667;0.11111166666666668
[13, 2, 17, 5];[8, 10];6.0466266733838125;10.596220796562699;3.6532108471737446;-4.549594123178887;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[2, 17, 5, 10];[8, 13];9.401554763000975;9.405201754883933;9.786636745910966;-0.0036469918829578063;0.066667;0.2;0.066667;1.0;0.2;0.11111166666666668
[13, 2, 5, 10];[8, 17];3.5675180809810945;4.558193044393626;3.4053178753194984;-0.9906749634125314;0.133333;0.133333;0.066667;0.5;0.066667;0.11111166666666668
[2, 8, 17, 5];[10, 13];9.827938869513378;10.214980197801893;12.456714947266658;-0.38704132828851456;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[13, 2, 8, 5];[10, 17];3.4623009764270463;3.689442275510771;3.253616012978571;-0.22714129908372493;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[2, 8, 5, 10];[13, 17];5.029345592270166;2.6522002484298164;4.931811215241003;2.37714534384035;0.133333;0.133333;0.066667;0.5;0.066667;0.11111166666666668
[13, 17, 10];[2, 5, 8];5.244728944487947;11.42441087930233;4.975738064076832;-6.179681934814384;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[13, 8, 17];[2, 5, 10];4.797097451634724;10.578664727279492;3.190670790741708;-5.781567275644767;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[8, 17, 10];[2, 5, 13];7.282852874440416;6.570761750019662;2.596134801316971;0.7120911244207546;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[13, 8, 10];[2, 5, 17];4.130304503884691;5.724805214929688;7.146196384993897;-1.5945007110449971;0.133333;0.133333;0.066667;0.5;0.066667;0.11111166666666668
[13, 17, 5];[2, 8, 10];5.973305623302624;10.735452779920161;5.3878477808334875;-4.762147156617537;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[17, 5, 10];[2, 8, 13];8.4179107060968;6.686399462648816;4.673390539903992;1.7315112434479838;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[13, 5, 10];[2, 8, 17];4.525715236837908;5.61050206553429;7.708411552109531;-1.084786828696382;0.133333;0.133333;0.066667;0.5;0.066667;0.11111166666666668
[8, 17, 5];[2, 10, 13];8.18627690440159;6.0566510017839805;3.517788623077637;2.129625902617609;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[13, 8, 5];[2, 10, 17];3.843833899797557;4.729561905975427;7.659308757217625;-0.8857280061778696;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[8, 5, 10];[2, 13, 17];4.869822035193735;2.5086964900589637;2.553794054886194;2.3611255451347715;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[13, 2, 17];[5, 8, 10];5.017355349858729;9.739571023422176;2.553794054886194;-4.722215673563447;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[2, 17, 10];[5, 8, 13];9.459052868876975;7.687610142374904;7.659308757217625;1.7714427265020714;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[13, 2, 10];[5, 8, 17];3.028348213390028;4.093169150815931;3.5177886230776356;-1.0648209374259028;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[2, 8, 17];[5, 10, 13];5.61050206553429;4.525715236837908;7.708411552109531;1.084786828696382;0.133333;0.133333;0.066667;0.5;0.066667;0.11111166666666668
[13, 2, 8];[5, 10, 17];3.3432248053850784;4.208986920292465;4.673390539903993;-0.8657621149073864;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[2, 8, 10];[5, 13, 17];5.367766648008649;2.9866752116033997;5.3878477808334875;2.3810914364052493;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[2, 17, 5];[8, 10, 13];5.724805214929688;4.130304503884691;7.146196384993898;1.5945007110449971;0.133333;0.133333;0.066667;0.5;0.066667;0.11111166666666668
[13, 2, 5];[8, 10, 17];3.285405515427993;3.641453747986765;2.596134801316971;-0.3560482325587717;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[2, 5, 10];[8, 13, 17];5.289372033731649;2.398566714977779;3.190670790741708;2.89080531875387;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[2, 8, 5];[10, 13, 17];5.712248281299067;2.622384140026684;4.9757380640768325;3.0898641412723835;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[13, 17];[2, 5, 8, 10];2.6522002484298164;5.029345592270166;4.931811215241003;-2.37714534384035;0.133333;0.133333;0.066667;0.5;0.066667;0.11111166666666668
[17, 10];[2, 5, 8, 13];7.378829209664118;6.924550018599117;3.253616012978571;0.4542791910650008;0.066667;0.133333;0.066667;1.0;0.133333;0.11111166666666668
[13, 10];[2, 5, 8, 17];5.107528405172453;4.91400628961959;12.45671494726666;0.19352211555286303;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[8, 17];[2, 5, 10, 13];4.558193044393626;3.5675180809810945;3.4053178753194984;0.9906749634125314;0.133333;0.133333;0.066667;0.5;0.066667;0.11111166666666668
[13, 8];[2, 5, 10, 17];3.1350829269642366;3.133867256924932;9.786636745910968;0.0012156700393046727;0.2;0.066667;0.066667;0.3333333333333333;0.022222444445;0.11111166666666668
[8, 10];[2, 5, 13, 17];5.298150134208677;3.023336011598619;3.653210847173745;2.2748141226100578;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
